"Freq [GHz]","ang_deg(St(port4_T1,port1_T1)) [deg]"
9.75,104.957968973605
9.755,103.342280611659
9.76,101.687933703615
9.765,99.9935198611651
9.77,98.2575936427698
9.775,96.4786745897084
9.78,94.6552498130535
9.785,92.7857771946204
9.79,90.8686892669092
9.795,88.9023978378412
9.8,86.8852994255198
9.805,84.8157815659171
9.81,82.6922300520602
9.815,80.5130371565867
9.82,78.2766108803054
9.825,75.9813852573681
9.83,73.6258317328905
9.835,71.2084716114009
9.84,68.7278895547993
9.845,66.1827480871114
9.85,63.5718030412617
9.855,60.8939198615101
9.86,58.148090655766
9.865,55.3334518763253
9.87,52.4493024976712
9.875,49.4951225573689
9.88,46.4705919322421
9.885,43.3756092372445
9.89,40.2103107582762
9.895,36.9750893602007
9.9,33.670613343469
9.905,30.2978452506722
9.91,26.8580606397989
9.915,23.3528668339204
9.92,19.7842216168994
9.925,16.1544517612663
9.93,12.4662711401141
9.935,8.7227979865182
9.94,4.92757062568308
9.945,1.0845607294853
9.95,-2.80181714611423
9.955,-6.72670124958432
9.96,-10.6847852636343
9.965,-14.6703296884147
9.97,-18.6771837308907
9.975,-22.6988192013742
9.98,-26.7283774549554
9.985,-30.7587297481337
9.99,-34.7825505465222
9.995,-38.7924023864001
10,-42.780829953762
10.005,-46.7404602055617
10.01,-50.6641047222553
10.015,-54.5448601323409
10.02,-58.3762024374081
10.025,-62.1520713964646
10.03,-65.8669417623546
10.035,-69.5158790259297
10.04,-73.0945783155926
10.045,-76.5993861148989
10.05,-80.0273054011028
10.055,-83.3759855967264
10.06,-86.643699316078
10.065,-89.8293082607242
10.07,-92.9322207796675
10.075,-95.9523435887759
10.08,-98.890029978618
10.085,-101.746026573943
10.09,-104.521420383308
10.095,-107.217587530361
10.1,-109.836144717394
10.105,-112.378904157425
10.11,-114.847832435677
10.115,-117.245013530982
10.12,-119.572616043294
10.125,-121.832864532837
10.13,-124.028014774561
10.135,-126.160332663173
10.14,-128.232076462738
10.145,-130.245482075147
10.15,-132.202750998342
10.155,-134.106040653607
10.16,-135.957456777783
10.165,-137.759047597983
10.17,-139.512799530902
10.175,-141.220634174557
10.18,-142.88440638585
10.185,-144.505903262005
10.19,-146.086843867019
10.195,-147.628879565599
10.2,-149.133594846309
10.205,-150.602508532963
10.21,-152.037075298599
10.215,-153.438687409799
10.22,-154.80867664086
10.225,-156.148316307443
10.23,-157.458823378065
10.235,-158.741360629251
10.24,-159.997038816556
10.245,-161.226918839013
10.25,-162.432013879152
